WARNING: Logging before flag parsing goes to stderr.
W0221 07:19:46.991123 123550689871488 __init__.py:74] TensorFlow version 1.15.0 detected. Last version known to be fully compatible is 1.14.0 .
Loading model models/devatrain_best.mlmodel	✓
2	{ “ } - { ” }
2	{ ध } - { र }
2	{ DEVANAGARI SIGN VIRAMA } - { ग }
2	{ DEVANAGARI SIGN ANUSVARA } - { व }
2	{ र } - { ध }
2	{ ढ } - { ह }
2	{ % } - { 9 }
2	{ व } - { ख }
2	{ व } - { ठ }
2	{ ङ } - { ष }
2	{ प } - { DEVANAGARI VOWEL SIGN O }
2	{ न } - { भ }
2	{ ह } - { ई }
2	{ न } - { ल }
2	{ SPACE } - { &#39; }
2	{ &gt; } - {  }
2	{ ह } - { ढ }
2	{ ऋ } - { श }
2	{ ; } - { DEVANAGARI SIGN VISARGA }
2	{ SPACE } - { - }
2	{ 2 } - { 3 }
2	{ . } - { १ }
2	{ DEVANAGARI SIGN VIRAMA } - { श }
2	{ ह } - { न }
2	{ ञ } - { ग }
2	{ / } - { ॥ }
2	{ क } - { ह }
2	{ र } - { DEVANAGARI VOWEL SIGN I }
2	{ DEVANAGARI VOWEL SIGN AI } - { SPACE }
2	{ ध } - { य }
2	{ । } - { DEVANAGARI VOWEL SIGN II }
2	{ प } - { घ }
2	{ क } - { ख }
2	{ प } - { ध }
2	{ ठ } - { न }
2	{ ह } - { ङ }
2	{ भ } - { ष }
2	{ ज } - { इ }
2	{ ” } - { SPACE }
2	{ ४ } - { भ }
2	{ त } - { म }
2	{ भ } - { ब }
2	{ „ } - { . }
2	{ ] } - { ) }
2	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI SIGN CANDRABINDU }
2	{ झ } - { ज }
2	{ ) } - { DEVANAGARI SIGN VISARGA }
2	{ 2 } - { : }
2	{ % } - { “ }
2	{ [ } - { / }
2	{ य } - { त }
2	{ ठ } - { ढ }
2	{ ष } - { थ }
2	{ य } - { ग }
2	{ DEVANAGARI VOWEL SIGN O } - { र }
2	{ र } - { म }
2	{ DEVANAGARI SIGN NUKTA } - { DEVANAGARI VOWEL SIGN AU }
2	{ छ } - { द }
2	{ ज } - { ग }
2	{ ड } - { छ }
2	{ ३ } - { 5 }
2	{ ६ } - { 8 }
2	{ DEVANAGARI VOWEL SIGN AA } - { 1 }
2	{ न } - { ख }
2	{  } - { फ }
2	{ र } - { + }
2	{ २ } - { ९ }
2	{ ग } - { ठ }
2	{ ड } - { ञ }
2	{ घ } - { र }
2	{ ₹ } - { SPACE }
2	{ ऐ } - { ए }
2	{ भ } - { आ }
2	{ DEVANAGARI VOWEL SIGN U } - { स }
2	{ ड } - { DEVANAGARI VOWEL SIGN VOCALIC R }
2	{ [ } - { DEVANAGARI VOWEL SIGN AA }
2	{ 8 } - { 0 }
2	{ ष } - { क }
2	{ न } - { ष }
2	{ व } - { DEVANAGARI VOWEL SIGN VOCALIC R }
2	{ ल } - { ड }
2	{ भ } - { व }
2	{ ञ } - { ड }
2	{ ष } - { ण }
2	{ DEVANAGARI VOWEL SIGN AI } - { DEVANAGARI SIGN VIRAMA }
2	{ घ } - { प }
2	{ 2 } - { 1 }
2	{  } - { २ }
2	{ SPACE } - { ] }
2	{ । } - { ॥ }
2	{ ? } - { * }
2	{ 2 } - { &gt; }
2	{ 3 } - { ॐ }
2	{ १ } - { ६ }
2	{ DEVANAGARI SIGN CANDRABINDU } - { ऍ }
2	{ ग } - { क }
2	{ ञ } - { ङ }
2	{ ग } - { ल }
2	{ ळ } - { छ }
2	{ 3 } - { ९ }
2	{ ब } - { थ }
2	{ ओ } - { ड }
2	{ ट } - { ई }
2	{ DEVANAGARI VOWEL SIGN AA } - { ड }
2	{ DEVANAGARI VOWEL SIGN U } - { ड }
2	{ फ } - { DEVANAGARI SIGN VIRAMA }
2	{ भ } - { थ }
2	{ DEVANAGARI SIGN NUKTA } - { DEVANAGARI SIGN VISARGA }
2	{ ञ } - { ष }
2	{ 8 } - { । }
2	{ ऽ } - { 5 }
2	{ DEVANAGARI SIGN VIRAMA } - { ठ }
2	{ DEVANAGARI VOWEL SIGN CANDRA E } - {  }
2	{ उ } - { अ }
2	{ 1 } - { १ }
2	{ ळ } - { ठ }
2	{ DEVANAGARI VOWEL SIGN I } - { र }
2	{ DEVANAGARI SIGN VIRAMA } - { ङ }
2	{ र } - { ए }
2	{ SPACE } - { DEVANAGARI VOWEL SIGN E }
2	{ DEVANAGARI VOWEL SIGN AA } - { ग }
2	{ DEVANAGARI SIGN VISARGA } - { DEVANAGARI SIGN ANUSVARA }
2	{ श } - { ड }
2	{ इ } - { ब }
2	{ DEVANAGARI SIGN VIRAMA } - { स }
2	{ SPACE } - { ) }
2	{ [ } - { ( }
2	{ ४ } - { 8 }
2	{ छ } - { ङ }
2	{ ढ } - { व }
2	{ ‡ } - { र }
2	{ र } - { SPACE }
2	{ र } - { थ }
2	{ DEVANAGARI SIGN VIRAMA } - { ई }
2	{ म } - { ष }
2	{ 3 } - { उ }
2	{ = } - { - }
2	{ DEVANAGARI VOWEL SIGN I } - { ध }
2	{ झ } - { द }
2	{ र } - { ल }
2	{ % } - { १ }
2	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { DEVANAGARI VOWEL SIGN U }
2	{ ऋ } - { ञ }
2	{ र } - { उ }
2	{ • } - { - }
2	{ ग } - { DEVANAGARI VOWEL SIGN O }
2	{ , } - { SPACE }
2	{ ऍ } - {  }
2	{ श } - { DEVANAGARI VOWEL SIGN AA }
2	{ DEVANAGARI SIGN ANUSVARA } - { थ }
2	{ 1 } - { SPACE }
2	{ \ } - { । }
2	{ ( } - { { }
2	{ व } - { भ }
2	{ + } - { - }
2	{ म } - { ध }
2	{ “ } - { * }
2	{ DEVANAGARI SIGN ANUSVARA } - { द }
2	{ श } - { ब }
2	{ ऊ } - { ज }
2	{ र } - { ञ }
2	{ औ } - { ज }
2	{ स } - { ब }
2	{  } - { 7 }
2	{ 0 } - { 6 }
2	{ थ } - { ड }
2	{  } - { * }
2	{ च } - { अ }
2	{ फ } - { र }
2	{ DEVANAGARI SIGN VISARGA } - { . }
2	{ % } - { ९ }
2	{ &lt; } - { - }
2	{ DEVANAGARI SIGN VISARGA } - { ; }
2	{ { } - { / }
2	{ DEVANAGARI SIGN VIRAMA } - { ञ }
2	{ &#34; } - { SPACE }
2	{  } - { ” }
2	{ त } - { श }
2	{ ॐ } - { ऑ }
2	{ § } - { श }
2	{ ख } - { DEVANAGARI SIGN VIRAMA }
2	{ ! } - { DEVANAGARI VOWEL SIGN AA }
2	{  } - { _ }
2	{ ॰ } - { ९ }
2	{ DEVANAGARI SIGN VIRAMA } - { ऋ }
2	{  } - { ५ }
2	{ ब } - { र }
2	{ ॐ } - { उ }
2	{ * } - { • }
2	{ ज } - { क }
2	{ ठ } - { च }
2	{ &#39; } - { “ }
2	{ DEVANAGARI VOWEL SIGN AI } - { DEVANAGARI VOWEL SIGN I }
2	{ ऽ } - { \ }
2	{ र } - { ह }
2	{ घ } - { थ }
2	{ र } - { ष }
2	{ च } - { घ }
2	{ छ } - { च }
2	{ य } - { न }
2	{ DEVANAGARI VOWEL SIGN UU } - { DEVANAGARI VOWEL SIGN AI }
2	{ ळ } - { न }
2	{ ड } - { ज }
2	{ ? } - { DEVANAGARI VOWEL SIGN E }
2	{ SPACE } - { DEVANAGARI SIGN VIRAMA }
2	{ त } - { । }
2	{ ख } - { म }
2	{ ष } - { भ }
2	{ ज } - { । }
2	{ ण } - { ह }
2	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { व }
2	{ ब } - { त }
2	{ ट } - { DEVANAGARI SIGN VIRAMA }
2	{  } - { 5 }
2	{ ₹ } - { २ }
2	{ ‡ } - { + }
2	{ ड } - { ठ }
2	{ DEVANAGARI SIGN VIRAMA } - { फ }
2	{ न } - { य }
2	{ ञ } - { ह }
2	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI VOWEL SIGN CANDRA O }
2	{ DEVANAGARI VOWEL SIGN AA } - { ध }
2	{ ट } - { त }
2	{ DEVANAGARI SIGN VIRAMA } - { घ }
2	{ ओ } - { र }
2	{ ] } - { | }
2	{ च } - { DEVANAGARI VOWEL SIGN I }
2	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI SIGN ANUSVARA }
2	{ ज } - { द }
2	{ व } - { DEVANAGARI SIGN ANUSVARA }
2	{ . } - { ३ }
2	{ छ } - { ठ }
2	{ त } - { द }
2	{ च } - { छ }
2	{ { } - { ई }
2	{ DEVANAGARI SIGN ANUSVARA } - { न }
2	{ ग } - { DEVANAGARI VOWEL SIGN AA }
2	{ DEVANAGARI SIGN ANUSVARA } - { , }
2	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI VOWEL SIGN AA }
2	{  } - { छ }
2	{ DEVANAGARI SIGN CANDRABINDU } - { DEVANAGARI VOWEL SIGN E }
2	{ ख } - { त }
2	{ ओ } - { स }
2	{ ई } - { द }
2	{ छ } - { क }
2	{ द } - { ज }
2	{ ऋ } - { अ }
2	{ ह } - { ज }
2	{ ण } - { DEVANAGARI VOWEL SIGN O }
2	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI SIGN VISARGA }
2	{ SPACE } - { ५ }
2	{ ए } - { ण }
2	{ ऽ } - { ध }
2	{ ध } - { DEVANAGARI SIGN VIRAMA }
2	{ ण } - { स }
2	{ ष } - { छ }
2	{ ख } - { DEVANAGARI VOWEL SIGN U }
2	{ क } - { छ }
2	{ द } - { , }
2	{ DEVANAGARI VOWEL SIGN II } - { DEVANAGARI VOWEL SIGN I }
2	{ 5 } - { § }
1	{ ॥ } - { 1 }
1	{ १ } - { ३ }
1	{ DEVANAGARI SIGN ANUSVARA } - { । }
1	{ ज } - { ड }
1	{ ॥ } - { १ }
1	{ ॐ } - { 3 }
1	{ ऽ } - { § }
1	{ { } - { । }
1	{ - } - { व }
1	{ ऽ } - { ६ }
1	{ ऽ } - { र }
1	{ { } - { ; }
1	{ * } - { ५ }
1	{ ञ } - { DEVANAGARI VOWEL SIGN AA }
1	{ DEVANAGARI VOWEL SIGN I } - { य }
1	{ ब } - { अ }
1	{ = } - { &gt; }
1	{ • } - { ४ }
1	{ ज } - { : }
1	{ ढ } - { र }
1	{ च } - { ख }
1	{ ड } - { व }
1	{ 2 } - { * }
1	{ ङ } - { DEVANAGARI SIGN ANUSVARA }
1	{ ग } - { ह }
1	{ 2 } - { ४ }
1	{ 1 } - { ३ }
1	{ च } - { ञ }
1	{ ऊ } - { ङ }
1	{ म } - { त }
1	{ DEVANAGARI SIGN CANDRABINDU } - { ग }
1	{ ड } - { ट }
1	{ : } - { SPACE }
1	{ ४ } - { &lt; }
1	{ 3 } - { \ }
1	{ ष } - { ० }
1	{ ट } - { DEVANAGARI VOWEL SIGN E }
1	{ ग } - { भ }
1	{ व } - { 6 }
1	{ ख } - { DEVANAGARI SIGN CANDRABINDU }
1	{ DEVANAGARI VOWEL SIGN U } - { DEVANAGARI VOWEL SIGN E }
1	{ क } - { DEVANAGARI SIGN VIRAMA }
1	{ ॐ } - { ‡ }
1	{ । } - { 8 }
1	{ च } - { प }
1	{ अ } - { र }
1	{ ८ } - { 4 }
1	{ / } - { &#39; }
1	{ | } - { . }
1	{ | } - { : }
1	{ 8 } - { ४ }
1	{ ऋ } - { प }
1	{ ग } - { ख }
1	{ त } - { ट }
1	{ य } - { ड }
1	{ DEVANAGARI VOWEL SIGN O } - { ल }
1	{ न } - { DEVANAGARI VOWEL SIGN I }
1	{ द } - { न }
1	{ 0 } - { ७ }
1	{ 9 } - { % }
1	{ । } - { औ }
1	{ ह } - { क }
1	{ २ } - { &lt; }
1	{ थ } - { DEVANAGARI VOWEL SIGN UU }
1	{ प } - { ह }
1	{ = } - { ~ }
1	{ DEVANAGARI VOWEL SIGN AA } - { प }
1	{ ए } - { फ }
1	{ “ } - { - }
1	{ DEVANAGARI VOWEL SIGN AA } - { क }
1	{ त } - { ऋ }
1	{ म } - { द }
1	{ DEVANAGARI VOWEL SIGN II } - { ब }
1	{ DEVANAGARI VOWEL SIGN CANDRA O } - { व }
1	{ क } - { DEVANAGARI VOWEL SIGN I }
1	{ ए } - { द }
1	{ घ } - { DEVANAGARI SIGN VIRAMA }
1	{ ठ } - { क }
1	{ श } - { , }
1	{ ष } - { ख }
1	{ DEVANAGARI VOWEL SIGN AI } - { DEVANAGARI SIGN CANDRABINDU }
1	{ द } - { ग }
1	{ स } - { DEVANAGARI VOWEL SIGN AA }
1	{ फ } - { DEVANAGARI VOWEL SIGN O }
1	{ DEVANAGARI VOWEL SIGN O } - { य }
1	{ र } - { DEVANAGARI SIGN VISARGA }
1	{ त } - { DEVANAGARI VOWEL SIGN I }
1	{ 7 } - { SPACE }
1	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { न }
1	{ ड } - { : }
1	{ य } - { श }
1	{ DEVANAGARI VOWEL SIGN AI } - { त }
1	{ । } - { DEVANAGARI VOWEL SIGN O }
1	{ 8 } - { १ }
1	{ ९ } - { 5 }
1	{ । } - { श }
1	{ ५ } - { च }
1	{ &gt; } - { DEVANAGARI SIGN VISARGA }
1	{ फ } - { छ }
1	{ DEVANAGARI SIGN CANDRABINDU } - { DEVANAGARI SIGN VIRAMA }
1	{ छ } - { र }
1	{ ओ } - { SPACE }
1	{ &lt; } - { • }
1	{ „ } - { … }
1	{ DEVANAGARI VOWEL SIGN AA } - { य }
1	{ फ } - { ध }
1	{ DEVANAGARI VOWEL SIGN CANDRA O } - { त }
1	{ ( } - { 1 }
1	{  } - { ? }
1	{ छ } - { ह }
1	{ , } - { DEVANAGARI VOWEL SIGN AI }
1	{ भ } - { ज }
1	{ क } - { DEVANAGARI SIGN VISARGA }
1	{ DEVANAGARI SIGN NUKTA } - { द }
1	{ ष } - { ए }
1	{ ए } - { DEVANAGARI SIGN VIRAMA }
1	{ ए } - { त }
1	{ म } - { क }
1	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN CANDRA O }
1	{ । } - { DEVANAGARI VOWEL SIGN E }
1	{ ऐ } - { म }
1	{ ए } - { म }
1	{ ख } - { ग }
1	{ ढ } - { DEVANAGARI SIGN VIRAMA }
1	{ उ } - { न }
1	{ ड } - { क }
1	{ झ } - { आ }
1	{ म } - { DEVANAGARI SIGN ANUSVARA }
1	{ ग } - { DEVANAGARI VOWEL SIGN I }
1	{ ऐ } - {  }
1	{ ट } - { ङ }
1	{ ॐ } - { ३ }
1	{ ए } - { DEVANAGARI VOWEL SIGN U }
1	{ न } - { ढ }
1	{ | } - { 1 }
1	{ ह } - { ल }
1	{ ० } - { ७ }
1	{ DEVANAGARI VOWEL SIGN I } - { DEVANAGARI VOWEL SIGN II }
1	{ प } - { र }
1	{ ङ } - { 5 }
1	{ } } - { 1 }
1	{ च } - { ( }
1	{ व } - { ल }
1	{ न } - { ळ }
1	{ भ } - { ग }
1	{ ) } - { . }
1	{ न } - { म }
1	{ त } - { २ }
1	{ द } - { ङ }
1	{ % } - { ५ }
1	{ फ } - { DEVANAGARI SIGN ANUSVARA }
1	{ र } - { २ }
1	{ न } - { ० }
1	{ DEVANAGARI VOWEL SIGN U } - { आ }
1	{ DEVANAGARI SIGN CANDRABINDU } - { 1 }
1	{ र } - { DEVANAGARI VOWEL SIGN AI }
1	{ / } - { ० }
1	{ DEVANAGARI VOWEL SIGN AA } - { ष }
1	{ DEVANAGARI SIGN VISARGA } - { DEVANAGARI VOWEL SIGN AA }
1	{ DEVANAGARI VOWEL SIGN AA } - { म }
1	{ DEVANAGARI VOWEL SIGN U } - { ग }
1	{ DEVANAGARI SIGN ANUSVARA } - { प }
1	{ ? } - { DEVANAGARI SIGN VIRAMA }
1	{ DEVANAGARI VOWEL SIGN AI } - { DEVANAGARI VOWEL SIGN U }
1	{ ॐ } - { § }
1	{ उ } - { इ }
1	{ DEVANAGARI SIGN ANUSVARA } - { SPACE }
1	{ ए } - { ब }
1	{ र } - { DEVANAGARI SIGN NUKTA }
1	{ DEVANAGARI SIGN ANUSVARA } - { म }
1	{ स } - { DEVANAGARI VOWEL SIGN I }
1	{ व } - { DEVANAGARI VOWEL SIGN E }
1	{ DEVANAGARI VOWEL SIGN U } - { च }
1	{ ५ } - { ४ }
1	{ ख } - { ध }
1	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { इ }
1	{ DEVANAGARI SIGN VIRAMA } - { प }
1	{ SPACE } - { क }
1	{ DEVANAGARI VOWEL SIGN UU } - { त }
1	{ , } - { ) }
1	{ : } - { * }
1	{ 1 } - { - }
1	{ DEVANAGARI SIGN ANUSVARA } - { &#39; }
1	{ 1 } - { : }
1	{ ꣳ } - { DEVANAGARI SIGN VISARGA }
1	{ 0 } - { &gt; }
1	{ 2 } - { ५ }
1	{ . } - { ॰ }
1	{ य } - { स }
1	{ 8 } - { § }
1	{ : } - { , }
1	{ 0 } - { . }
1	{ 3 } - { § }
1	{ 6 } - { * }
1	{ 7 } - { 1 }
1	{ 1 } - { + }
1	{ 5 } - { ट }
1	{ थ } - { प }
1	{ * } - { ” }
1	{ य } - { इ }
1	{ य } - { ज }
1	{ ८ } - { ध }
1	{ क } - { ठ }
1	{ 7 } - { ? }
1	{ छ } - { य }
1	{ DEVANAGARI VOWEL SIGN I } - { ष }
1	{ DEVANAGARI VOWEL SIGN U } - { DEVANAGARI SIGN VISARGA }
1	{ २ } - { श }
1	{ र } - { ज }
1	{ ड } - { ढ }
1	{ ऋ } - { क }
1	{ प } - { DEVANAGARI VOWEL SIGN AA }
1	{ ग } - { DEVANAGARI VOWEL SIGN AI }
1	{ 5 } - { 6 }
1	{ ओ } - { ख }
1	{ ज } - { ई }
1	{ ज } - { DEVANAGARI VOWEL SIGN E }
1	{ म } - { आ }
1	{ DEVANAGARI VOWEL SIGN O } - { DEVANAGARI VOWEL SIGN AI }
1	{ उ } - { DEVANAGARI SIGN VIRAMA }
1	{ ष } - { DEVANAGARI VOWEL SIGN II }
1	{ DEVANAGARI VOWEL SIGN U } - { क }
1	{ ल } - { भ }
1	{ प } - { श }
1	{ DEVANAGARI VOWEL SIGN E } - { ह }
1	{ ] } - { DEVANAGARI VOWEL SIGN AA }
1	{ न } - { DEVANAGARI SIGN VISARGA }
1	{ DEVANAGARI SIGN VIRAMA } - { ट }
1	{ ध } - { क }
1	{ DEVANAGARI VOWEL SIGN UU } - { DEVANAGARI SIGN ANUSVARA }
1	{ २ } - { र }
1	{ ज } - { उ }
1	{ &#34; } - { न }
1	{ ? } - { ₹ }
1	{ ज } - { अ }
1	{ क } - { ओ }
1	{ DEVANAGARI SIGN NUKTA } - { ङ }
1	{ ब } - { च }
1	{ स } - { व }
1	{ श } - { स }
1	{ श } - { न }
1	{ स } - { प }
1	{ ऊ } - { ख }
1	{ ध } - { DEVANAGARI VOWEL SIGN VOCALIC R }
1	{ ज } - { ण }
1	{ ८ } - { ६ }
1	{ ८ } - { SPACE }
1	{ च } - { ज }
1	{ . } - { ह }
1	{ . } - { र }
1	{ DEVANAGARI VOWEL SIGN I } - { म }
1	{ &#39; } - { भ }
1	{ DEVANAGARI VOWEL SIGN E } - { म }
1	{ DEVANAGARI VOWEL SIGN U } - { ख }
1	{ झ } - { क }
1	{ छ } - { इ }
1	{ DEVANAGARI VOWEL SIGN UU } - { ड }
1	{ “ } - { • }
1	{ &#39; } - { DEVANAGARI SIGN ANUSVARA }
1	{ : } - { ? }
1	{ &#34; } - { ( }
1	{ SPACE } - { ॥ }
1	{ ꣳ } - { DEVANAGARI SIGN VIRAMA }
1	{ ड } - { उ }
1	{ ꣳ } - { ‡ }
1	{ ₹ } - { । }
1	{ DEVANAGARI SIGN VIRAMA } - { ण }
1	{ आ } - { भ }
1	{ फ } - { ष }
1	{ DEVANAGARI SIGN ANUSVARA } - { इ }
1	{ छ } - { ड }
1	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI VOWEL SIGN CANDRA O }
1	{ छ } - { ज }
1	{ न } - { ~ }
1	{ ९ } - { २ }
1	{ DEVANAGARI VOWEL SIGN AI } - { प }
1	{ _ } - { . }
1	{ = } - { | }
1	{ ८ } - { / }
1	{ DEVANAGARI SIGN VIRAMA } - { . }
1	{ , } - { । }
1	{ | } - { ? }
1	{ ख } - { श }
1	{ न } - { क }
1	{ ख } - { ङ }
1	{ ध } - { SPACE }
1	{ न } - { , }
1	{ DEVANAGARI VOWEL SIGN I } - { श }
1	{ = } - { * }
1	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { र }
1	{ व } - { ड }
1	{ 3 } - { 5 }
1	{ न } - { च }
1	{ ख } - { उ }
1	{ झ } - { ड }
1	{ र } - { DEVANAGARI VOWEL SIGN VOCALIC R }
1	{ र } - { ब }
1	{ &#39; } - { ग }
1	{ &#39; } - { * }
1	{ DEVANAGARI SIGN ANUSVARA } - { च }
1	{ र } - { DEVANAGARI VOWEL SIGN AU }
1	{ श } - { DEVANAGARI VOWEL SIGN AI }
1	{ 1 } - { ङ }
1	{ श } - { DEVANAGARI VOWEL SIGN VOCALIC R }
1	{  } - { ६ }
1	{ ब } - { झ }
1	{ इ } - { झ }
1	{ भ } - { ञ }
1	{ &gt; } - { * }
1	{ SPACE } - { &#34; }
1	{ ध } - { ड }
1	{  } - { ऐ }
1	{ ८ } - { ॰ }
1	{ SPACE } - { DEVANAGARI VOWEL SIGN UU }
1	{ ए } - { ९ }
1	{ &#39; } - { च }
1	{ र } - { इ }
1	{ [ } - { DEVANAGARI VOWEL SIGN VOCALIC R }
1	{ SPACE } - { 5 }
1	{ DEVANAGARI VOWEL SIGN AA } - { थ }
1	{ + } - { उ }
1	{ SPACE } - { स }
1	{ भ } - { य }
1	{ DEVANAGARI SIGN CANDRABINDU } - { र }
1	{ * } - { भ }
1	{  } - { 3 }
1	{ DEVANAGARI VOWEL SIGN AA } - { ञ }
1	{ &gt; } - { 3 }
1	{ &gt; } - { प }
1	{ SPACE } - { ; }
1	{ व } - { म }
1	{ DEVANAGARI SIGN VIRAMA } - { ए }
1	{ DEVANAGARI SIGN ANUSVARA } - { स }
1	{ DEVANAGARI VOWEL SIGN U } - { ई }
1	{ DEVANAGARI VOWEL SIGN E } - { ड }
1	{ DEVANAGARI SIGN CANDRABINDU } - { SPACE }
1	{ + } - { ~ }
1	{ ख } - { ष }
1	{ DEVANAGARI VOWEL SIGN E } - { DEVANAGARI VOWEL SIGN AA }
1	{ | } - { DEVANAGARI SIGN VISARGA }
1	{ DEVANAGARI SIGN VISARGA } - { र }
1	{ DEVANAGARI VOWEL SIGN U } - { ब }
1	{ ञ } - { . }
1	{ 1 } - { 3 }
1	{ ठ } - { उ }
1	{ ट } - { इ }
1	{ ओ } - { भ }
1	{ म } - { ञ }
1	{ आ } - { ब }
1	{ थ } - { DEVANAGARI SIGN VISARGA }
1	{ व } - { थ }
1	{ ध } - { ब }
1	{ ब } - { ड }
1	{ ऊ } - { ड }
1	{ ह } - { ब }
1	{ म } - { थ }
1	{ ठ } - { ङ }
1	{ DEVANAGARI VOWEL SIGN AA } - { DEVANAGARI SIGN VISARGA }
1	{ ब } - { औ }
1	{ झ } - { म }
1	{ ६ } - { 4 }
1	{ ल } - { DEVANAGARI SIGN CANDRABINDU }
1	{ फ } - { ए }
1	{ फ } - { न }
1	{ ऋ } - { ज }
1	{ ; } - { ? }
1	{ ( } - { SPACE }
1	{ DEVANAGARI SIGN NUKTA } - { DEVANAGARI SIGN ANUSVARA }
1	{ , } - { 1 }
1	{ ) } - { } }
1	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI SIGN VIRAMA }
1	{ प } - { अ }
1	{ स } - { झ }
1	{ DEVANAGARI SIGN ANUSVARA } - { ह }
1	{ 5 } - { . }
1	{  } - { ` }
1	{ DEVANAGARI SIGN VISARGA } - { , }
1	{ श } - { अ }
1	{ द } - { य }
1	{ DEVANAGARI VOWEL SIGN E } - { ब }
1	{ DEVANAGARI VOWEL SIGN E } - { च }
1	{ ध } - { DEVANAGARI VOWEL SIGN O }
1	{ / } - { . }
1	{ | } - { ! }
1	{ ” } - { ` }
1	{ क } - { ‡ }
1	{ DEVANAGARI VOWEL SIGN I } - { ल }
1	{ DEVANAGARI VOWEL SIGN E } - { न }
1	{ र } - { ठ }
1	{ “ } - { SPACE }
1	{ 1 } - { / }
1	{ DEVANAGARI VOWEL SIGN U } - { DEVANAGARI VOWEL SIGN I }
1	{ ढ } - { ङ }
1	{ ५ } - { ९ }
1	{ म } - { DEVANAGARI VOWEL SIGN E }
1	{ न } - { &lt; }
1	{ ऽ } - { SPACE }
1	{ ञ } - { DEVANAGARI SIGN VIRAMA }
1	{ ? } - { १ }
1	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { द }
1	{ उ } - { ज }
1	{ ट } - { य }
1	{ DEVANAGARI VOWEL SIGN U } - { DEVANAGARI SIGN ANUSVARA }
1	{ | } - { DEVANAGARI VOWEL SIGN AU }
1	{ त } - { अ }
1	{ थ } - { । }
1	{ - } - { । }
1	{ भ } - { ~ }
1	{ ` } - { “ }
1	{ ‡ } - { इ }
1	{ थ } - { भ }
1	{ झ } - { ह }
1	{ ! } - { DEVANAGARI VOWEL SIGN II }
1	{ ल } - { ई }
1	{ * } - { ॰ }
1	{ DEVANAGARI VOWEL SIGN UU } - { DEVANAGARI VOWEL SIGN E }
1	{ भ } - { ओ }
1	{ न } - { DEVANAGARI SIGN VIRAMA }
1	{ ऽ } - { म }
1	{ ओ } - { ज }
1	{ अ } - { ज }
1	{ ० } - { • }
1	{ DEVANAGARI SIGN NUKTA } - { DEVANAGARI VOWEL SIGN UU }
1	{ ऽ } - { ९ }
1	{ ? } - { : }
1	{  } - { ऋ }
1	{ क } - { ल }
1	{ ठ } - { ज }
1	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN AU }
1	{ ञ } - { द }
1	{ % } - { + }
1	{ SPACE } - { DEVANAGARI SIGN VISARGA }
1	{ क } - { ढ }
1	{ DEVANAGARI SIGN ANUSVARA } - { घ }
1	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI VOWEL SIGN I }
1	{ आ } - { ऑ }
1	{ त } - { &#39; }
1	{ ङ } - { : }
1	{ DEVANAGARI VOWEL SIGN UU } - { DEVANAGARI VOWEL SIGN AU }
1	{ ब } - { । }
1	{ त } - { DEVANAGARI VOWEL SIGN AU }
1	{ DEVANAGARI VOWEL SIGN I } - { । }
1	{ क } - { २ }
1	{ र } - { ५ }
1	{ DEVANAGARI VOWEL SIGN U } - { व }
1	{ म } - { । }
1	{ ज } - { DEVANAGARI VOWEL SIGN AA }
1	{ DEVANAGARI VOWEL SIGN I } - { व }
1	{ DEVANAGARI VOWEL SIGN U } - { ” }
1	{ उ } - { । }
1	{ 3 } - { ( }
1	{ SPACE } - { , }
1	{ DEVANAGARI VOWEL SIGN UU } - { द }
1	{ छ } - { DEVANAGARI VOWEL SIGN AA }
1	{ DEVANAGARI VOWEL SIGN UU } - { च }
1	{ छ } - { DEVANAGARI VOWEL SIGN AU }
1	{ प } - { 9 }
1	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI SIGN VISARGA }
1	{ त } - { - }
1	{ य } - { : }
1	{ ण } - { । }
1	{ द } - { &#39; }
1	{ DEVANAGARI VOWEL SIGN E } - { । }
1	{ व } - { : }
1	{ ख } - { &#39; }
1	{ क } - { . }
1	{ ठ } - { + }
1	{ न } - { । }
1	{ DEVANAGARI VOWEL SIGN UU } - { SPACE }
1	{ ब } - { ~ }
1	{ ० } - { &lt; }
1	{ द } - { „ }
1	{ उ } - { ५ }
1	{  } - { ० }
1	{ [ } - { SPACE }
1	{ ग } - { श }
1	{ § } - { 9 }
1	{ ण } - { श }
1	{ ट } - { ध }
